PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
Ankle,Teen,High,Beginner,Ankle Circles,Daily
Knee,Senior,Low,Beginner,Squats,Weekly
Back,Teen,Medium,Intermediate,Superman Exercise,Weekly
Back,Teen,Low,Beginner,Deadlifts,Weekly
Neck,Teen,Low,Advanced,Neck Tilts,Daily
Knee,Teen,Medium,Intermediate,Leg Raises,Daily
PCOS,Adult,High,Beginner,Strength Training,Bi-Weekly
Knee,Adult,Low,Intermediate,Lunges,Daily
PCOS,Adult,High,Beginner,Strength Training,Weekly
Elbow,Child,Low,Intermediate,Tricep Dips,Weekly
Elbow,Adult,Medium,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Knee,Senior,Low,Intermediate,Squats,Daily
Osteoporotic,Child,Low,Intermediate,Weight Training,Weekly
Back,Teen,High,Intermediate,Superman Exercise,Weekly
Ankle,Senior,Low,Beginner,Calf Raises,Daily
Elbow,Senior,Medium,Beginner,Tricep Dips,Daily
Back,Child,High,Advanced,Cat-Cow Stretch,Daily
Elbow,Teen,Low,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Ankle,Teen,Medium,Beginner,Calf Raises,Weekly
Ankle,Adult,Low,Advanced,Ankle Circles,Bi-Weekly
Back,Child,Low,Intermediate,Superman Exercise,Daily
Knee,Senior,High,Beginner,Squats,Weekly
Elbow,Teen,High,Beginner,Resistance Band Curls,Bi-Weekly
Osteoporotic,Senior,Low,Intermediate,Balance Exercises,Daily
Elbow,Teen,Low,Intermediate,Resistance Band Curls,Weekly
Neck,Adult,Low,Advanced,Shoulder Shrugs,Bi-Weekly
Knee,Adult,High,Intermediate,Leg Raises,Weekly
Knee,Child,High,Beginner,Leg Raises,Daily
Osteoporotic,Teen,Medium,Beginner,Weight Training,Bi-Weekly
Ankle,Teen,Low,Beginner,Calf Raises,Bi-Weekly
PCOS,Adult,High,Intermediate,Yoga,Daily
Elbow,Adult,High,Intermediate,Tricep Dips,Weekly
Knee,Teen,Medium,Beginner,Lunges,Bi-Weekly
Neck,Child,Medium,Advanced,Shoulder Shrugs,Bi-Weekly
Knee,Teen,Low,Beginner,Lunges,Weekly
Knee,Senior,Low,Advanced,Lunges,Weekly
Knee,Adult,Medium,Advanced,Lunges,Daily
Elbow,Senior,Low,Intermediate,Resistance Band Curls,Bi-Weekly
PCOS,Child,Low,Advanced,Yoga,Weekly
PCOS,Child,Low,Intermediate,Yoga,Bi-Weekly
Neck,Child,Low,Advanced,Neck Rotations,Daily
PCOS,Senior,Low,Intermediate,Cardio Exercises,Daily
Neck,Teen,Low,Advanced,Shoulder Shrugs,Daily
Neck,Senior,Medium,Intermediate,Neck Rotations,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Weight Training,Weekly
Ankle,Child,Low,Beginner,Ankle Circles,Weekly
Osteoporotic,Adult,Medium,Advanced,Weight Training,Daily
Osteoporotic,Adult,High,Beginner,Weight Training,Bi-Weekly
Osteoporotic,Child,High,Advanced,Tai Chi,Bi-Weekly
Osteoporotic,Senior,Medium,Beginner,Weight Training,Daily
Shoulder,Child,High,Intermediate,Shoulder Rolls,Daily
Neck,Senior,High,Advanced,Shoulder Shrugs,Bi-Weekly
Osteoporotic,Teen,Medium,Beginner,Balance Exercises,Bi-Weekly
Osteoporotic,Child,Low,Intermediate,Weight Training,Bi-Weekly
Neck,Child,Low,Beginner,Neck Rotations,Daily
Neck,Teen,Low,Beginner,Shoulder Shrugs,Bi-Weekly
Elbow,Teen,Low,Intermediate,Resistance Band Curls,Weekly
Ankle,Teen,Low,Advanced,Toe Walks,Weekly
Knee,Senior,Low,Advanced,Squats,Bi-Weekly
Shoulder,Child,Medium,Beginner,Shoulder Rolls,Weekly
Knee,Adult,Medium,Beginner,Lunges,Weekly
PCOS,Adult,Low,Beginner,Yoga,Weekly
Elbow,Adult,High,Beginner,Tricep Dips,Bi-Weekly
PCOS,Teen,Medium,Intermediate,Cardio Exercises,Bi-Weekly
Osteoporotic,Senior,High,Advanced,Tai Chi,Weekly
Ankle,Senior,Medium,Beginner,Ankle Circles,Weekly
Knee,Adult,Medium,Beginner,Squats,Daily
PCOS,Adult,Medium,Advanced,Cardio Exercises,Weekly
PCOS,Child,Medium,Advanced,Cardio Exercises,Bi-Weekly
Elbow,Senior,Low,Beginner,Resistance Band Curls,Weekly
Shoulder,Teen,Medium,Beginner,Wall Push-ups,Daily
Elbow,Teen,Medium,Beginner,Tricep Dips,Bi-Weekly
Shoulder,Child,Low,Advanced,Wall Push-ups,Bi-Weekly
Elbow,Child,Low,Advanced,Wrist Flexor Stretch,Weekly
Shoulder,Senior,High,Intermediate,Shoulder Rolls,Bi-Weekly
PCOS,Senior,High,Advanced,Yoga,Daily
Elbow,Senior,Medium,Intermediate,Resistance Band Curls,Daily
Shoulder,Adult,High,Advanced,Shoulder Rolls,Weekly
Elbow,Adult,Low,Intermediate,Tricep Dips,Daily
Osteoporotic,Adult,Medium,Advanced,Weight Training,Weekly
Back,Senior,Low,Intermediate,Deadlifts,Daily
Neck,Child,Medium,Beginner,Neck Tilts,Daily
Knee,Child,Medium,Beginner,Squats,Weekly
Osteoporotic,Senior,High,Intermediate,Tai Chi,Daily
Neck,Adult,Medium,Beginner,Shoulder Shrugs,Weekly
Knee,Teen,Low,Advanced,Lunges,Bi-Weekly
Neck,Teen,Low,Intermediate,Neck Rotations,Weekly
Back,Teen,Medium,Beginner,Cat-Cow Stretch,Daily
Knee,Senior,Low,Beginner,Lunges,Daily
Back,Adult,Medium,Beginner,Deadlifts,Daily
Shoulder,Adult,Low,Advanced,Shoulder Rolls,Weekly
Back,Teen,Medium,Beginner,Deadlifts,Weekly
Back,Child,Low,Intermediate,Superman Exercise,Weekly
PCOS,Senior,Low,Advanced,Yoga,Bi-Weekly
Ankle,Senior,High,Beginner,Toe Walks,Daily
PCOS,Child,Medium,Advanced,Cardio Exercises,Daily
PCOS,Child,Medium,Intermediate,Strength Training,Bi-Weekly
Knee,Child,Low,Beginner,Squats,Weekly
Neck,Senior,Low,Intermediate,Neck Tilts,Daily
Osteoporotic,Senior,Low,Advanced,Tai Chi,Daily
Shoulder,Senior,High,Beginner,Shoulder Rolls,Bi-Weekly
PCOS,Child,Medium,Advanced,Strength Training,Daily
Knee,Senior,Medium,Beginner,Lunges,Bi-Weekly
Elbow,Child,Low,Intermediate,Tricep Dips,Weekly
Osteoporotic,Teen,Low,Advanced,Balance Exercises,Weekly
Osteoporotic,Senior,Medium,Intermediate,Tai Chi,Bi-Weekly
Shoulder,Senior,Low,Advanced,Shoulder Rolls,Daily
Osteoporotic,Adult,Low,Advanced,Weight Training,Bi-Weekly
Neck,Teen,Medium,Intermediate,Neck Rotations,Weekly
Shoulder,Adult,Medium,Advanced,Shoulder Rolls,Weekly
Elbow,Teen,Medium,Advanced,Wrist Flexor Stretch,Daily
Neck,Teen,High,Intermediate,Neck Tilts,Bi-Weekly
Shoulder,Senior,Medium,Intermediate,Arm Circles,Bi-Weekly
Elbow,Adult,Medium,Intermediate,Resistance Band Curls,Weekly
PCOS,Senior,High,Intermediate,Strength Training,Daily
Knee,Teen,Low,Intermediate,Leg Raises,Daily
Osteoporotic,Senior,Medium,Intermediate,Weight Training,Daily
PCOS,Teen,Low,Intermediate,Cardio Exercises,Bi-Weekly
PCOS,Adult,High,Advanced,Yoga,Bi-Weekly
Osteoporotic,Senior,Low,Beginner,Tai Chi,Weekly
Ankle,Senior,Medium,Intermediate,Calf Raises,Bi-Weekly
Knee,Senior,Low,Advanced,Squats,Bi-Weekly
Shoulder,Child,Medium,Beginner,Shoulder Rolls,Weekly
Shoulder,Child,High,Advanced,Arm Circles,Weekly
Elbow,Teen,High,Beginner,Resistance Band Curls,Daily
Shoulder,Senior,High,Beginner,Wall Push-ups,Daily
Shoulder,Teen,Medium,Intermediate,Wall Push-ups,Daily
Elbow,Child,High,Beginner,Wrist Flexor Stretch,Weekly
Back,Child,High,Advanced,Deadlifts,Weekly
Neck,Adult,Low,Intermediate,Neck Rotations,Bi-Weekly
Knee,Adult,Low,Intermediate,Squats,Weekly
Shoulder,Teen,High,Beginner,Wall Push-ups,Weekly
PCOS,Teen,Medium,Beginner,Cardio Exercises,Weekly
Osteoporotic,Child,Low,Advanced,Weight Training,Bi-Weekly
Elbow,Adult,Low,Beginner,Wrist Flexor Stretch,Daily
Knee,Senior,Medium,Intermediate,Leg Raises,Weekly
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Elbow,Adult,Medium,Intermediate,Wrist Flexor Stretch,Weekly
Neck,Child,Low,Beginner,Neck Tilts,Daily
Ankle,Child,High,Advanced,Calf Raises,Weekly
Ankle,Teen,Low,Beginner,Calf Raises,Weekly
Osteoporotic,Adult,High,Advanced,Balance Exercises,Weekly
Knee,Adult,Low,Intermediate,Squats,Weekly
Elbow,Teen,High,Intermediate,Resistance Band Curls,Bi-Weekly
Elbow,Child,High,Beginner,Resistance Band Curls,Bi-Weekly
PCOS,Senior,Medium,Beginner,Yoga,Bi-Weekly
Neck,Child,High,Intermediate,Neck Tilts,Weekly
PCOS,Teen,High,Intermediate,Strength Training,Daily
Elbow,Senior,Medium,Advanced,Wrist Flexor Stretch,Daily
Ankle,Adult,High,Intermediate,Calf Raises,Daily
Osteoporotic,Teen,Low,Advanced,Weight Training,Daily
Ankle,Teen,High,Advanced,Ankle Circles,Weekly
Osteoporotic,Senior,High,Advanced,Balance Exercises,Bi-Weekly
Neck,Child,Low,Intermediate,Neck Tilts,Daily
Ankle,Child,High,Beginner,Toe Walks,Weekly
Ankle,Teen,Low,Beginner,Ankle Circles,Daily
Back,Child,Medium,Advanced,Superman Exercise,Bi-Weekly
Neck,Teen,High,Intermediate,Neck Rotations,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Rotations,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Tilts,Bi-Weekly
Back,Senior,Medium,Beginner,Cat-Cow Stretch,Weekly
Neck,Teen,Low,Intermediate,Neck Tilts,Daily
Osteoporotic,Adult,High,Beginner,Weight Training,Daily
Neck,Senior,Low,Beginner,Neck Tilts,Daily
Osteoporotic,Adult,Low,Intermediate,Tai Chi,Daily
PCOS,Adult,Medium,Beginner,Yoga,Daily
Osteoporotic,Adult,Medium,Beginner,Weight Training,Daily
Neck,Senior,Low,Intermediate,Shoulder Shrugs,Daily
Shoulder,Child,Low,Intermediate,Shoulder Rolls,Weekly
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Bi-Weekly
Knee,Teen,Medium,Intermediate,Leg Raises,Daily
Ankle,Senior,Low,Intermediate,Ankle Circles,Bi-Weekly
Back,Child,High,Intermediate,Deadlifts,Weekly
Neck,Adult,Medium,Beginner,Neck Tilts,Weekly
PCOS,Senior,High,Intermediate,Yoga,Daily
Osteoporotic,Child,Low,Advanced,Weight Training,Daily
PCOS,Adult,High,Intermediate,Strength Training,Daily
Knee,Child,High,Beginner,Squats,Daily
Elbow,Adult,Low,Intermediate,Resistance Band Curls,Bi-Weekly
Shoulder,Senior,High,Beginner,Arm Circles,Daily
Neck,Senior,Medium,Intermediate,Neck Rotations,Daily
Osteoporotic,Child,Medium,Intermediate,Tai Chi,Weekly
Back,Child,Low,Advanced,Deadlifts,Daily
Ankle,Adult,Medium,Beginner,Ankle Circles,Weekly
Osteoporotic,Senior,Low,Advanced,Weight Training,Weekly
Back,Senior,High,Intermediate,Deadlifts,Bi-Weekly
Osteoporotic,Child,High,Beginner,Balance Exercises,Daily
PCOS,Child,Low,Advanced,Strength Training,Daily
Neck,Child,Medium,Beginner,Neck Rotations,Bi-Weekly
Neck,Senior,Medium,Intermediate,Shoulder Shrugs,Daily
PCOS,Adult,High,Advanced,Cardio Exercises,Daily
Elbow,Adult,Medium,Intermediate,Tricep Dips,Weekly
Osteoporotic,Adult,Medium,Beginner,Tai Chi,Bi-Weekly
Elbow,Teen,Medium,Advanced,Tricep Dips,Bi-Weekly
Elbow,Adult,High,Intermediate,Tricep Dips,Weekly
Ankle,Teen,Medium,Beginner,Toe Walks,Bi-Weekly
Osteoporotic,Teen,High,Advanced,Weight Training,Daily
PCOS,Child,High,Intermediate,Strength Training,Weekly
Neck,Adult,High,Beginner,Neck Tilts,Bi-Weekly
Elbow,Teen,Low,Beginner,Resistance Band Curls,Daily
PCOS,Senior,Medium,Beginner,Cardio Exercises,Daily
Osteoporotic,Child,Low,Intermediate,Tai Chi,Weekly
Knee,Child,Low,Beginner,Leg Raises,Bi-Weekly
Ankle,Adult,Low,Beginner,Calf Raises,Bi-Weekly
Shoulder,Child,Medium,Beginner,Shoulder Rolls,Daily
Knee,Teen,High,Beginner,Squats,Weekly
Shoulder,Child,Medium,Advanced,Shoulder Rolls,Bi-Weekly
Ankle,Adult,High,Advanced,Ankle Circles,Daily
Back,Senior,High,Intermediate,Superman Exercise,Bi-Weekly
Neck,Senior,Medium,Advanced,Neck Tilts,Weekly
Shoulder,Child,High,Intermediate,Wall Push-ups,Daily
PCOS,Senior,Medium,Intermediate,Yoga,Daily
Neck,Teen,Low,Advanced,Neck Tilts,Bi-Weekly
PCOS,Child,High,Advanced,Yoga,Daily
PCOS,Teen,Medium,Intermediate,Yoga,Daily
Shoulder,Adult,Low,Beginner,Arm Circles,Daily
Knee,Teen,Low,Beginner,Leg Raises,Bi-Weekly
Shoulder,Child,High,Beginner,Wall Push-ups,Daily
Shoulder,Adult,Low,Intermediate,Arm Circles,Weekly
PCOS,Adult,Medium,Advanced,Cardio Exercises,Daily
Knee,Adult,Medium,Intermediate,Leg Raises,Daily
Knee,Adult,Low,Advanced,Leg Raises,Daily
Back,Child,Medium,Intermediate,Deadlifts,Weekly
Knee,Teen,High,Beginner,Lunges,Bi-Weekly
Knee,Child,Low,Intermediate,Squats,Weekly
Knee,Adult,Low,Advanced,Lunges,Bi-Weekly
Osteoporotic,Senior,Medium,Beginner,Balance Exercises,Daily
Elbow,Child,Low,Intermediate,Tricep Dips,Bi-Weekly
Ankle,Child,Low,Intermediate,Toe Walks,Bi-Weekly
Back,Child,Medium,Advanced,Superman Exercise,Daily
Neck,Child,Medium,Advanced,Neck Rotations,Bi-Weekly
Ankle,Adult,High,Beginner,Toe Walks,Daily
Knee,Senior,Medium,Advanced,Leg Raises,Weekly
Elbow,Teen,High,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Knee,Senior,High,Intermediate,Lunges,Weekly
Shoulder,Child,Medium,Beginner,Wall Push-ups,Daily
Elbow,Teen,Medium,Advanced,Resistance Band Curls,Daily
Shoulder,Senior,High,Beginner,Wall Push-ups,Daily
Neck,Senior,High,Intermediate,Neck Tilts,Daily
Knee,Adult,Low,Advanced,Lunges,Weekly
Back,Teen,Low,Beginner,Deadlifts,Daily
PCOS,Adult,High,Advanced,Cardio Exercises,Daily
Elbow,Adult,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Elbow,Adult,High,Intermediate,Tricep Dips,Daily
Neck,Senior,Low,Intermediate,Neck Rotations,Weekly
Neck,Senior,Medium,Intermediate,Neck Tilts,Daily
Shoulder,Senior,Low,Intermediate,Shoulder Rolls,Bi-Weekly
Knee,Child,Medium,Advanced,Leg Raises,Weekly
Shoulder,Senior,Low,Advanced,Arm Circles,Daily
Back,Teen,High,Beginner,Deadlifts,Weekly
PCOS,Senior,Low,Advanced,Strength Training,Daily
Ankle,Senior,Medium,Beginner,Calf Raises,Weekly
Back,Senior,High,Intermediate,Cat-Cow Stretch,Bi-Weekly
Osteoporotic,Senior,Medium,Advanced,Weight Training,Daily
Neck,Child,Medium,Advanced,Neck Rotations,Bi-Weekly
Ankle,Teen,Medium,Beginner,Calf Raises,Daily
Ankle,Teen,Low,Advanced,Toe Walks,Bi-Weekly
Osteoporotic,Senior,High,Intermediate,Tai Chi,Bi-Weekly
Osteoporotic,Child,High,Advanced,Balance Exercises,Weekly
Neck,Senior,Low,Advanced,Neck Tilts,Bi-Weekly
Shoulder,Adult,High,Intermediate,Wall Push-ups,Weekly
Ankle,Teen,Low,Advanced,Calf Raises,Daily
Back,Teen,Medium,Advanced,Deadlifts,Weekly
Knee,Adult,Low,Intermediate,Lunges,Bi-Weekly
PCOS,Teen,High,Advanced,Cardio Exercises,Bi-Weekly
Elbow,Senior,Low,Intermediate,Resistance Band Curls,Bi-Weekly
Knee,Child,Medium,Advanced,Leg Raises,Weekly
PCOS,Adult,High,Advanced,Cardio Exercises,Daily
Ankle,Child,Low,Intermediate,Toe Walks,Bi-Weekly
PCOS,Teen,Medium,Advanced,Cardio Exercises,Bi-Weekly
Ankle,Child,Low,Intermediate,Ankle Circles,Weekly
PCOS,Senior,Medium,Advanced,Yoga,Daily
Shoulder,Adult,Low,Beginner,Wall Push-ups,Bi-Weekly
PCOS,Senior,Low,Intermediate,Strength Training,Weekly
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Daily
Osteoporotic,Teen,Low,Beginner,Balance Exercises,Daily
Knee,Teen,Medium,Beginner,Leg Raises,Bi-Weekly
PCOS,Senior,Low,Advanced,Yoga,Daily
Ankle,Adult,Low,Beginner,Toe Walks,Daily
Back,Child,Low,Advanced,Superman Exercise,Bi-Weekly
Knee,Teen,High,Beginner,Squats,Daily
Neck,Child,High,Beginner,Neck Tilts,Daily
Back,Adult,Low,Advanced,Deadlifts,Daily
Ankle,Child,Low,Advanced,Toe Walks,Weekly
Elbow,Child,Medium,Beginner,Wrist Flexor Stretch,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Balance Exercises,Daily
Shoulder,Child,High,Intermediate,Wall Push-ups,Bi-Weekly
Neck,Adult,High,Beginner,Neck Rotations,Bi-Weekly
Back,Child,High,Intermediate,Deadlifts,Daily
Back,Child,High,Intermediate,Cat-Cow Stretch,Weekly
Osteoporotic,Child,Medium,Advanced,Balance Exercises,Bi-Weekly
Shoulder,Adult,Low,Beginner,Arm Circles,Bi-Weekly
Neck,Senior,Low,Intermediate,Neck Tilts,Bi-Weekly
PCOS,Senior,Low,Advanced,Yoga,Bi-Weekly
Ankle,Senior,High,Intermediate,Ankle Circles,Weekly
Ankle,Teen,High,Intermediate,Calf Raises,Bi-Weekly
Back,Adult,Medium,Advanced,Superman Exercise,Bi-Weekly
Back,Child,High,Advanced,Superman Exercise,Daily
Ankle,Senior,High,Advanced,Calf Raises,Daily
Knee,Adult,Medium,Intermediate,Lunges,Weekly
Elbow,Child,Medium,Intermediate,Wrist Flexor Stretch,Weekly
Elbow,Teen,Low,Beginner,Resistance Band Curls,Bi-Weekly
Knee,Adult,Medium,Beginner,Squats,Weekly
Ankle,Child,Low,Beginner,Ankle Circles,Bi-Weekly
Back,Child,Low,Intermediate,Superman Exercise,Weekly
Shoulder,Child,High,Intermediate,Arm Circles,Daily
Ankle,Teen,High,Intermediate,Ankle Circles,Daily
Elbow,Teen,Low,Beginner,Wrist Flexor Stretch,Weekly
Elbow,Senior,Medium,Advanced,Wrist Flexor Stretch,Daily
Shoulder,Adult,Low,Beginner,Wall Push-ups,Daily
Ankle,Teen,Low,Advanced,Ankle Circles,Daily
PCOS,Teen,Low,Intermediate,Yoga,Bi-Weekly
Back,Senior,Medium,Advanced,Cat-Cow Stretch,Bi-Weekly
Knee,Teen,High,Beginner,Lunges,Daily
Ankle,Adult,Low,Advanced,Toe Walks,Daily
Neck,Adult,Low,Beginner,Shoulder Shrugs,Weekly
Neck,Teen,Low,Advanced,Neck Tilts,Daily
Elbow,Teen,Medium,Intermediate,Wrist Flexor Stretch,Daily
Osteoporotic,Senior,High,Intermediate,Weight Training,Weekly
Back,Adult,Medium,Intermediate,Superman Exercise,Daily
Shoulder,Child,High,Beginner,Shoulder Rolls,Bi-Weekly
Shoulder,Adult,Low,Beginner,Arm Circles,Weekly
Shoulder,Adult,Medium,Advanced,Shoulder Rolls,Bi-Weekly
Neck,Senior,High,Beginner,Shoulder Shrugs,Weekly
Shoulder,Teen,Medium,Beginner,Wall Push-ups,Daily
Ankle,Teen,High,Beginner,Toe Walks,Bi-Weekly
Knee,Senior,High,Beginner,Leg Raises,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Weight Training,Bi-Weekly
Knee,Senior,High,Beginner,Leg Raises,Weekly
Knee,Child,Low,Beginner,Squats,Daily
Elbow,Child,Low,Advanced,Wrist Flexor Stretch,Weekly
Elbow,Adult,High,Beginner,Resistance Band Curls,Weekly
Shoulder,Senior,Low,Advanced,Shoulder Rolls,Bi-Weekly
Ankle,Senior,Low,Advanced,Ankle Circles,Weekly
Ankle,Adult,Medium,Advanced,Toe Walks,Weekly
Elbow,Teen,High,Advanced,Tricep Dips,Bi-Weekly
PCOS,Child,Medium,Beginner,Strength Training,Weekly
Shoulder,Teen,Low,Advanced,Arm Circles,Daily
Osteoporotic,Teen,Medium,Advanced,Tai Chi,Weekly
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Weekly
Ankle,Senior,Medium,Beginner,Ankle Circles,Weekly
PCOS,Child,Low,Beginner,Yoga,Bi-Weekly
Back,Adult,Low,Advanced,Cat-Cow Stretch,Weekly
PCOS,Child,High,Beginner,Yoga,Bi-Weekly
Back,Senior,Low,Advanced,Deadlifts,Daily
Knee,Adult,Low,Advanced,Leg Raises,Daily
Elbow,Teen,High,Intermediate,Tricep Dips,Weekly
Ankle,Teen,Low,Intermediate,Calf Raises,Bi-Weekly
Osteoporotic,Adult,Low,Beginner,Balance Exercises,Bi-Weekly
Ankle,Senior,Medium,Advanced,Toe Walks,Daily
Knee,Adult,Low,Intermediate,Lunges,Weekly
Shoulder,Senior,High,Intermediate,Wall Push-ups,Daily
Knee,Teen,Low,Beginner,Leg Raises,Weekly
Shoulder,Adult,Medium,Advanced,Shoulder Rolls,Bi-Weekly
Ankle,Adult,High,Intermediate,Ankle Circles,Bi-Weekly
Osteoporotic,Teen,Medium,Advanced,Tai Chi,Weekly
Shoulder,Adult,Medium,Advanced,Wall Push-ups,Daily
PCOS,Teen,High,Beginner,Cardio Exercises,Daily
Knee,Child,Medium,Beginner,Leg Raises,Weekly
Osteoporotic,Senior,High,Beginner,Weight Training,Bi-Weekly
Osteoporotic,Senior,High,Intermediate,Balance Exercises,Daily
Osteoporotic,Child,Low,Beginner,Balance Exercises,Daily
Ankle,Teen,Medium,Advanced,Toe Walks,Bi-Weekly
Knee,Adult,Medium,Intermediate,Leg Raises,Daily
Elbow,Adult,Medium,Beginner,Resistance Band Curls,Daily
Back,Adult,Low,Beginner,Cat-Cow Stretch,Weekly
Elbow,Child,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Back,Teen,High,Intermediate,Deadlifts,Daily
Knee,Child,Medium,Intermediate,Lunges,Weekly
Knee,Teen,Medium,Beginner,Leg Raises,Bi-Weekly
Neck,Senior,High,Beginner,Neck Rotations,Bi-Weekly
Neck,Teen,High,Advanced,Neck Rotations,Daily
PCOS,Adult,High,Advanced,Cardio Exercises,Bi-Weekly
Shoulder,Senior,Medium,Beginner,Shoulder Rolls,Daily
Shoulder,Child,High,Advanced,Wall Push-ups,Bi-Weekly
Shoulder,Teen,Medium,Intermediate,Arm Circles,Bi-Weekly
Knee,Adult,High,Advanced,Leg Raises,Weekly
Knee,Adult,Medium,Beginner,Squats,Bi-Weekly
PCOS,Child,Low,Intermediate,Strength Training,Weekly
Shoulder,Teen,High,Intermediate,Arm Circles,Weekly
Ankle,Senior,Medium,Beginner,Toe Walks,Bi-Weekly
PCOS,Senior,Medium,Beginner,Cardio Exercises,Daily
Knee,Child,Medium,Advanced,Squats,Weekly
Elbow,Child,Medium,Intermediate,Wrist Flexor Stretch,Weekly
Ankle,Senior,Medium,Beginner,Ankle Circles,Daily
Ankle,Teen,Medium,Beginner,Ankle Circles,Daily
Back,Child,Medium,Intermediate,Cat-Cow Stretch,Daily
Neck,Senior,High,Advanced,Shoulder Shrugs,Bi-Weekly
Shoulder,Adult,Low,Beginner,Wall Push-ups,Daily
Knee,Teen,Medium,Intermediate,Lunges,Weekly
PCOS,Teen,Medium,Intermediate,Yoga,Bi-Weekly
Back,Child,Medium,Advanced,Deadlifts,Daily
Back,Teen,Low,Intermediate,Deadlifts,Daily
Ankle,Adult,Low,Intermediate,Calf Raises,Daily
Shoulder,Teen,High,Intermediate,Shoulder Rolls,Daily
PCOS,Adult,Medium,Intermediate,Cardio Exercises,Daily
Shoulder,Senior,Low,Beginner,Arm Circles,Bi-Weekly
Shoulder,Adult,Medium,Advanced,Shoulder Rolls,Bi-Weekly
Ankle,Child,High,Advanced,Toe Walks,Bi-Weekly
Elbow,Adult,High,Intermediate,Resistance Band Curls,Bi-Weekly
Ankle,Teen,High,Beginner,Toe Walks,Weekly
Shoulder,Adult,Low,Beginner,Shoulder Rolls,Daily
Knee,Senior,High,Advanced,Lunges,Daily
Knee,Adult,Low,Intermediate,Lunges,Weekly
Elbow,Senior,Medium,Intermediate,Wrist Flexor Stretch,Daily
Elbow,Child,Medium,Intermediate,Resistance Band Curls,Weekly
PCOS,Teen,Medium,Intermediate,Cardio Exercises,Daily
PCOS,Teen,Medium,Beginner,Yoga,Bi-Weekly
Ankle,Adult,High,Advanced,Calf Raises,Weekly
Back,Adult,High,Beginner,Cat-Cow Stretch,Bi-Weekly
PCOS,Adult,Medium,Advanced,Strength Training,Daily
Shoulder,Teen,High,Intermediate,Wall Push-ups,Daily
Neck,Adult,Medium,Intermediate,Neck Tilts,Weekly
Ankle,Adult,Medium,Beginner,Ankle Circles,Weekly
Knee,Teen,Low,Beginner,Squats,Weekly
Elbow,Senior,High,Beginner,Resistance Band Curls,Bi-Weekly
Elbow,Senior,Medium,Intermediate,Tricep Dips,Daily
Elbow,Senior,High,Advanced,Resistance Band Curls,Daily
Knee,Child,High,Advanced,Lunges,Bi-Weekly
Back,Senior,High,Advanced,Superman Exercise,Weekly
PCOS,Senior,High,Beginner,Yoga,Daily
PCOS,Adult,Low,Beginner,Strength Training,Daily
Neck,Child,Medium,Beginner,Neck Tilts,Bi-Weekly
Knee,Child,Medium,Intermediate,Squats,Weekly
Osteoporotic,Adult,Medium,Beginner,Weight Training,Bi-Weekly
PCOS,Senior,Medium,Advanced,Yoga,Weekly
Shoulder,Teen,Medium,Advanced,Wall Push-ups,Weekly
Ankle,Teen,High,Beginner,Ankle Circles,Bi-Weekly
Elbow,Senior,Low,Intermediate,Wrist Flexor Stretch,Daily
Neck,Teen,High,Advanced,Neck Rotations,Weekly
Neck,Adult,Low,Intermediate,Shoulder Shrugs,Weekly
Back,Senior,Medium,Advanced,Cat-Cow Stretch,Bi-Weekly
Shoulder,Adult,Medium,Beginner,Shoulder Rolls,Weekly
Elbow,Senior,High,Intermediate,Tricep Dips,Bi-Weekly
Neck,Child,Medium,Advanced,Shoulder Shrugs,Bi-Weekly
Elbow,Child,High,Advanced,Resistance Band Curls,Bi-Weekly
PCOS,Senior,Medium,Beginner,Yoga,Daily
Knee,Senior,Medium,Intermediate,Lunges,Bi-Weekly
PCOS,Adult,Low,Beginner,Cardio Exercises,Daily
PCOS,Adult,Low,Advanced,Cardio Exercises,Daily
Ankle,Senior,High,Intermediate,Calf Raises,Daily
PCOS,Child,Medium,Advanced,Cardio Exercises,Weekly
Back,Child,Low,Beginner,Cat-Cow Stretch,Daily
Back,Child,Medium,Intermediate,Cat-Cow Stretch,Bi-Weekly
Neck,Senior,Low,Advanced,Shoulder Shrugs,Daily
Back,Teen,High,Intermediate,Superman Exercise,Bi-Weekly
Neck,Senior,High,Beginner,Neck Rotations,Bi-Weekly
Osteoporotic,Senior,Low,Advanced,Tai Chi,Weekly
Elbow,Senior,High,Intermediate,Tricep Dips,Bi-Weekly
Elbow,Adult,Medium,Beginner,Resistance Band Curls,Weekly
